#,I confirm that I have read and fully understand the purpose and nature of the study and agree to participate in it.,What is your gender? ,Age,residency,Educational level ,marital status,What is your source of information about osteoarthritis?,Do you know someone diagnosed with osteoarthritis? ,Do you think that knee osteoarthritis is a chronic problem? ,Do you think that knee osteoarthritis is rare? ,Do you think that all types of joints may suffer from osteoarthritis? ,Do you think that knee osteoarthritis is the result of a cold or moist atmosphere? ,What do you think is the underlying mechanism of osteoarthritis? You can choose more than one option,Do you think that genetics is a risk factor for osteoarthritis?,Do you think that advancing age is a risk factor for osteoarthritis?,Do you think that high BMI is a risk factor for knee osteoarthritis? ,Do you think that the incidence of knee osteoarthritis is equal between males and females?,Do you think that being active makes osteoarthritis feel better? ,Do you think that previous knee injury is a risk factor for osteoarthritis? ,Do you think that pain is the only symptom of knee osteoarthritis?,Do you think joint stiffness is a sign of knee osteoarthritis?,Do you think knee redness is a sign of knee osteoarthritis? ,Do you think locking of the knee is a sign of knee osteoarthritis?,Do you think increased joint warmth is a sign of knee osteoarthritis? ,Do you think that osteoarthritis may lead to loss of joint movement?,Do you think weakness of the muscle is a sign of knee osteoarthritis? ,Do you think numbness is a sign of knee osteoarthritis?,Do you think that analgesics may improve symptoms?,Do you think that hot or cold packs to the knee may improve symptoms? ,"Do you think that some types of exercises, such as swimming, are suitable for osteoarthritis patients?",Do you think that physiotherapy can improve the symptoms of osteoarthritis? ,Do you think that steroid injections in the joint help to relieve severe symptoms temporarily? ,Do you think that joint replacement surgery will be needed at some point for osteoarthritis? 
647,Yes,female,19,Jerusalem,university,single,friends/relatives ,Yes,Yes,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,no,Yes,Not sure,Not sure,no,no,no,Not sure,no,no,no,no,no,Yes,Yes,Yes
648,Yes,male,44,Jerusalem,university,Married,study,Yes,no,no,Yes,Yes,cartilage at the end of the bones wearing down over time,no,Yes,Yes,Yes,Yes,Yes,no,Yes,no,no,no,no,Yes,no,Yes,Yes,Yes,Yes,Yes,no
649,Yes,male,34,Jerusalem,high school,Married,Personal history,Yes,Yes,Yes,Yes,Yes,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,Not sure,Yes,Yes,no,Yes,Yes,no,Yes,Yes,no,no,no,Yes,Yes,Yes,Yes,Yes
650,Yes,female,24,Jerusalem,university,Married,friends/relatives ,Yes,Yes,Not sure,Not sure,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Not sure,Not sure,no,Not sure,Not sure,no,Not sure,Yes,Not sure,Not sure,Yes,Not sure,Yes,Yes,Not sure,Not sure
651,Yes,male,30,Jerusalem,Postgraduate studies (Masters/PhD),Married,friends/relatives ,Yes,Yes,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Not sure,Not sure,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Yes,no,Not sure,no,Yes,Yes,Yes,Not sure,Not sure
652,Yes,female,45,Jerusalem,high school,Married,"friends/relatives , healthcare",Yes,Yes,Not sure,Yes,Yes,"infection, nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes
653,Yes,male,20,Jerusalem,university,single,"Personal history, friends/relatives ",Yes,Yes,no,Yes,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,Yes,no,no,Not sure,Yes,Yes,Yes,no,no,Yes,Yes,Yes,no,Yes
654,Yes,male,60,Jerusalem,university,Married,"Personal history, friends/relatives ",Yes,Not sure,no,Not sure,no,cartilage at the end of the bones wearing down over time,no,no,Not sure,no,Yes,Not sure,no,Not sure,no,no,Not sure,Not sure,no,Not sure,no,Yes,Yes,Yes,Not sure,Yes
655,Yes,female,26,Jerusalem,Postgraduate studies (Masters/PhD),Married,friends/relatives ,Yes,Yes,no,no,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,Not sure,Not sure,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Not sure,Yes
656,Yes,female,24,Jerusalem,university,single,"study, healthcare",no,Yes,no,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,no,no,no,Yes,Yes,Yes,Yes,no,no,no,no,no,no,Yes,Yes,Yes
657,Yes,female,23,Jerusalem,university,single,friends/relatives ,no,Yes,no,Yes,no,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,no,Yes,Yes,Yes,no,no,Yes,Yes,Not sure,Yes,no,Yes,Yes,Yes,Yes,Not sure,Yes
658,Yes,female,22,Jerusalem,university,single,media,no,Not sure,Not sure,Not sure,Not sure,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Not sure,Yes,Yes,Yes,Yes
659,Yes,female,24,Jerusalem,university,single,study,no,Yes,no,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,Not sure,Yes,Yes,Not sure,Yes,Yes,no,no,no,no,no,Yes,no
660,Yes,female,36,Jerusalem,high school,Married,friends/relatives ,Yes,Yes,no,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Not sure,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
661,Yes,female,19,Ramallah,university,single,others,Yes,Yes,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,no,Yes,Yes,Yes,no,no,no,Yes,no,Yes,no,Yes,Yes
662,Yes,female,23,Ramallah,university,single,friends/relatives ,no,Yes,no,no,Yes,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,no,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes
663,Yes,female,22,Ramallah,university,single,study,no,Yes,no,Yes,Not sure,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,no,Yes,no,Yes,Yes,no,Not sure,no,Yes,Yes,Yes,no,no,no,no,Yes
664,Yes,female,22,Ramallah,university,single,study,no,Not sure,Yes,no,Yes,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Not sure,Not sure,Yes,Yes,Yes
665,Yes,female,22,Ramallah,Postgraduate studies (Masters/PhD),single,"Personal history, media",Yes,Yes,no,no,Yes,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Yes,Not sure,Yes,Yes,Yes,Not sure,Yes,no,no,Yes,Yes,Yes,Yes,Yes,no
667,Yes,female,22,Ramallah,university,single,study,no,Yes,no,Yes,no,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Yes,no,Yes,no,no,no,no,Yes,no,no,Yes,Yes,Yes,Yes,Yes,Yes
668,Yes,female,22,Ramallah,university,Married,"friends/relatives , media",no,Yes,Yes,no,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,no,Not sure,Yes,no,Not sure,Yes,Yes,Not sure,Yes,Not sure,no,no,Not sure,Yes,Yes,Not sure,Not sure
669,Yes,female,22,Ramallah,university,single,friends/relatives ,Yes,Not sure,no,no,no,cartilage at the end of the bones wearing down over time,no,Yes,Yes,Not sure,no,Yes,no,Yes,no,Yes,Not sure,Yes,no,Not sure,no,no,Not sure,no,no,Yes
670,Yes,male,30,Ramallah,university,Married,friends/relatives ,Yes,Yes,no,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,no,Yes,no,Yes,Not sure,Yes,Not sure,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
671,Yes,female,21,Ramallah,university,single,study,no,Yes,Yes,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Not sure,Not sure,Not sure,no,no,Yes,Yes,Yes,Yes
672,Yes,female,22,Ramallah,university,single,study,Yes,Yes,no,no,Not sure,"nerve compression near the joint , crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,no,Not sure,Not sure,Not sure,Not sure,Yes,Yes,Yes,Yes
673,Yes,female,25,Ramallah,university,single,others,no,Yes,no,Yes,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,no,no,Not sure,no,no,Not sure,Not sure,no,Not sure,Yes,Yes,Yes,Yes,Not sure,Not sure
674,Yes,female,22,Ramallah,university,single,friends/relatives ,Yes,Yes,Not sure,Yes,Yes,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Yes,Not sure,no,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Not sure,Not sure
675,Yes,female,18,Ramallah,university,single,media,no,Yes,Yes,no,Yes,cartilage at the end of the bones wearing down over time,Yes,Yes,Not sure,Not sure,Not sure,Yes,no,no,no,no,Not sure,Yes,no,no,Yes,no,Not sure,no,Yes,Yes
676,Yes,female,19,Ramallah,university,single,friends/relatives ,no,Yes,no,Yes,Yes,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,no,no,Yes,Yes,Yes,Yes,Yes,no,no,Yes,Yes,Yes,Yes,Yes,Yes
678,Yes,female,22,Hebron,university,single,study,Yes,Yes,no,Yes,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
679,Yes,female,18,Ramallah,high school,single,others,Yes,Yes,no,no,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,Yes,Yes,no,no,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,no,Yes,Not sure,Yes
680,Yes,female,24,Ramallah,university,Married,"Personal history, friends/relatives ",no,Yes,no,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,Not sure,Yes,Yes,no,Not sure,Not sure,no,Not sure,no,Yes,no,no,Yes,Yes,Yes,Not sure,Yes
681,Yes,female,22,Ramallah,university,single,study,Yes,Yes,Yes,Yes,Yes,"infection, cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
682,Yes,female,22,Ramallah,university,single,study,Yes,Not sure,no,Yes,Not sure,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Yes,Yes,no,Not sure,Not sure,Not sure,Yes,Not sure,Not sure,no,Yes,Yes,Yes,Yes,Yes,Yes
683,Yes,female,22,Hebron,university,single,"friends/relatives , study",Yes,Not sure,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,Yes,Yes,no,Yes,no,Yes,Not sure,Yes,Not sure,Not sure
684,Yes,female,22,Jericho,university,single,"Personal history, friends/relatives , study, media, healthcare",Yes,Yes,no,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,Yes,Not sure,Yes,Yes,no,Yes,Not sure,Not sure,Not sure,Not sure,no,Yes,Yes,no,Yes,Yes,Yes
685,Yes,female,22,Hebron,university,single,study,no,Yes,no,Yes,no,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,no,no,no,no,no,no,no,Yes,Yes,Yes,no,Yes,Yes,no,no
686,Yes,female,22,Hebron,university,single,study,no,Yes,Not sure,no,Yes,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,no,no,no,Yes,Yes,Yes,Yes,Yes,Yes
687,Yes,female,46,Ramallah,university,Married,study,Yes,Yes,Not sure,no,no,nerve compression near the joint ,no,Yes,Yes,no,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,no,Yes,no,Yes,Yes,Yes,no
688,Yes,male,48,Ramallah,Postgraduate studies (Masters/PhD),Married,friends/relatives ,Yes,Yes,Not sure,no,Not sure,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,no,Yes,Yes,Yes,Yes,no,Not sure,Yes,Not sure,Yes,Yes,Not sure,Yes,Yes,Yes,Yes
689,Yes,female,21,Ramallah,university,single,others,no,Not sure,Not sure,Not sure,Not sure,nerve compression near the joint ,Not sure,,Not sure,Not sure,Yes,Yes,no,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,no,Not sure,Not sure,Not sure,Yes,Not sure,Yes
690,Yes,female,18,Ramallah,high school,single,study,no,Yes,no,no,no,cartilage at the end of the bones wearing down over time,no,Yes,Yes,Not sure,Yes,Not sure,Yes,Yes,Not sure,Not sure,Not sure,Not sure,no,no,Yes,Yes,Yes,Yes,Yes,Yes
691,Yes,male,18,Ramallah,high school,single,study,no,no,no,no,Not sure,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,no,Yes,no,no,Yes,no,Yes,Yes,Yes,Yes
692,Yes,female,45,Ramallah,university,Married,"friends/relatives , study, media",Yes,Yes,no,Yes,Yes,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Yes,Yes,no,no,no,Yes,Yes,Yes,no,no,Yes,no,no,Yes,Yes,Yes
693,Yes,female,22,Ramallah,university,single,study,no,Yes,no,Yes,Yes,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,Yes,no,Yes,no,Yes,Yes,no,Yes,Yes,no,no,Yes,Yes,Yes,Yes,Yes,Yes
694,Yes,male,21,Ramallah,university,single,"friends/relatives , others",no,Yes,Not sure,Yes,Not sure,cartilage at the end of the bones wearing down over time,no,,Yes,Not sure,Yes,Yes,no,Yes,Yes,Yes,Not sure,Yes,no,no,Yes,no,Yes,Yes,Not sure,Not sure
695,Yes,female,22,Ramallah,university,single,friends/relatives ,no,Yes,no,no,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,no,Yes,Yes,Yes,Yes,Yes,no,no,Yes,Yes,Yes,Yes,Yes
696,Yes,female,33,Hebron,university,Married,others,Yes,Yes,no,no,no,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,no,no,Yes,no,no,Yes,no,Yes,no,no,Yes,Not sure,Not sure,Yes,Yes,Yes
697,Yes,female,22,Ramallah,university,single,friends/relatives ,no,Yes,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Not sure,Yes,no,Yes,Not sure,Yes,Not sure,no,Not sure,Not sure,no,Not sure,Yes,Yes,Yes,Yes
698,Yes,female,38,Ramallah,high school,Married,"friends/relatives , media",Yes,Yes,Yes,no,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,Not sure,Not sure,Not sure,Yes,Not sure,Not sure,Yes,Not sure,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
698,Yes,female,22,Ramallah,university,single,study,no,Yes,no,no,Not sure,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,Not sure,Not sure,Not sure,no,Yes,Yes,Yes,Yes,Not sure,no,Not sure,Not sure,Not sure,Yes,Not sure,Not sure,Yes
699,Yes,female,22,Ramallah,university,single,study,Yes,Yes,no,Not sure,Not sure,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Not sure,no,Yes,Yes,no,Yes,Yes,Yes,Not sure,Not sure,Not sure,Yes,Yes,Not sure,Yes,Yes,Not sure,Not sure
700,Yes,female,18,Ramallah,university,single,others,Yes,Yes,no,no,Not sure,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,no,Not sure,Not sure,Not sure,no,Not sure,no,Yes,Not sure,Yes
701,Yes,male,24,Jenin ,university,single,study,Yes,Yes,no,no,no,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,no,Yes,no,Yes,no,Not sure,no,Yes,no,no,Yes,no,no,Yes,Yes,Yes
702,Yes,female,20,Nablus,university,single,others,no,Yes,Not sure,no,no,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,Not sure,Yes,Yes,Not sure,Yes,no,Yes,Not sure,Yes,Not sure,no,no,Not sure,no,Yes,Yes,Not sure
703,Yes,female,19,Nablus,university,single,friends/relatives ,no,Yes,no,Not sure,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Not sure,Yes,Yes,no,Yes,Not sure,no,Not sure,Not sure,Yes,no,Yes,Yes,Not sure,Not sure,Yes,Not sure,Not sure,Yes,Yes
704,Yes,female,19,Bethlehem ,high school,single,others,no,Not sure,Not sure,Not sure,Not sure,"infection, nerve compression near the joint ",Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure
705,Yes,female,19,Nablus,university,single,others,no,Not sure,no,Yes,no,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Not sure,Yes,no,Yes,Yes,Yes,Not sure,Yes,Not sure,no,Yes,Yes,Yes,Yes,no,Yes
706,Yes,female,19,Bethlehem ,university,single,others,no,Yes,no,Yes,Yes,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Yes,Yes,no,Yes,Not sure,Yes,Not sure,Yes,Yes,Not sure,no,Yes,Not sure,Yes,Not sure,Not sure
707,Yes,female,18,Jenin ,high school,single,others,no,Yes,no,Yes,Not sure,"decreased blood supply to the joint, nerve compression near the joint ",Yes,Yes,Not sure,no,no,Yes,Yes,Not sure,no,Yes,Yes,Yes,Not sure,Not sure,Yes,no,no,Yes,Not sure,Yes
708,Yes,female,20,Nablus,university,single,media,no,Yes,no,Yes,Not sure,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,no,Yes,Not sure,no,Not sure,no,Yes,Not sure,Yes,no,Yes,Yes,Not sure,Yes,Yes,Yes,Yes
709,Yes,female,20,Jerusalem,university,single,others,Yes,no,no,Not sure,Yes,decreased blood supply to the joint,Not sure,Yes,no,Not sure,Yes,no,Yes,Yes,no,no,no,Yes,Yes,Not sure,no,Yes,no,no,Not sure,Not sure
710,Yes,male,56,Jenin ,Postgraduate studies (Masters/PhD),Married,Personal history,Yes,Yes,no,Yes,Not sure,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Yes,Yes,Not sure,Yes,Not sure,Yes,Not sure,Yes,Yes,Not sure,no,no,Yes,Yes,Yes,Yes
711,Yes,female,24,Jenin ,university,single,study,Yes,Yes,Yes,Yes,Yes,"infection, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,no,no,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
712,Yes,female,19,Jenin ,university,single,"Personal history, friends/relatives , healthcare, others",Yes,Not sure,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,no,Yes,Not sure,Not sure,no,no,Yes,no,Not sure,Not sure,Yes,Yes,no,Yes,Yes,no,Not sure,Yes
713,Yes,female,19,Hebron,university,single,"friends/relatives , study",Yes,Yes,Not sure,no,Not sure,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,no,Yes,no,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,no,Yes,Yes,Yes,Yes,Yes
714,Yes,female,19,Qalqeliah,university,single,study,no,Not sure,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Not sure,Yes,Yes,Yes,Yes,Not sure,no,no,Yes,Yes,Yes,Yes,Not sure,Not sure,no,Not sure,Yes,Not sure,no,Yes
715,Yes,female,21,Jerusalem,high school,single,friends/relatives ,Yes,Not sure,no,Yes,Yes,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,Not sure,Yes,no,no,Yes,Not sure,Yes,no,Not sure,Yes,Not sure,no,Not sure,no,Yes,Not sure,Yes
716,Yes,female,19,Ramallah,high school,single,others,no,Yes,no,Not sure,Yes,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,no,no,Yes,no,Yes,Not sure,Yes,Not sure,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,no,Yes
717,Yes,male,24,Salfeet ,university,single,study,no,Yes,no,Yes,no,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes
718,Yes,male,23,Hebron,university,single,"friends/relatives , study",Yes,Yes,no,Yes,no,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,Not sure,Yes,Yes,no,Yes,no,Yes,Yes,no,no,no,Yes,Yes,Yes,Yes,Yes,Not sure
719,Yes,male,25,Jenin ,university,single,friends/relatives ,Yes,Yes,no,no,no,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes
720,Yes,male,24,Salfeet ,university,single,study,Yes,Yes,no,no,no,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,no,Yes,no,no,Yes,Yes,Yes,Not sure,Yes,Yes
721,Yes,male,24,Jenin ,university,single,study,no,Yes,no,Yes,no,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,no,Yes,no,Yes,no,Yes,no,Yes,no,no,Yes,Yes,no,Yes,Yes,Yes
722,Yes,male,23,Salfeet ,university,single,study,Yes,Yes,no,Yes,Not sure,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Not sure,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,no,Yes,Yes
723,Yes,male,22,Bethlehem ,university,single,others,no,Yes,no,no,no,"infection, decreased blood supply to the joint, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes
724,Yes,male,23,Nablus,university,single,study,Yes,Yes,no,Yes,no,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,Yes,Yes,no,no,Yes,Yes,Yes,Yes,Yes,Yes
725,Yes,male,24,Hebron,university,single,study,Yes,Yes,no,Yes,no,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,no,Yes,no,Yes,no,Yes,no,Yes,Yes,Not sure,Yes,Not sure,Not sure,Yes,Yes,Yes
726,Yes,male,24,Hebron,university,single,"study, healthcare",Yes,Yes,no,Yes,no,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,no,Yes,no,Yes,Not sure,Yes,no,Yes,Not sure,no,Yes,Not sure,Not sure,Yes,Yes,Yes
727,Yes,female,44,Nablus,university,Married,Personal history,Yes,Yes,Yes,Yes,Yes,infection,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
728,Yes,male,26,Nablus,university,single,friends/relatives ,Yes,Yes,Not sure,no,no,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,Not sure,Not sure,Yes,Not sure,Not sure,Not sure,Yes,Yes,Yes,no,Not sure,Yes,Yes,Not sure,no,Yes,Yes
729,Yes,male,22,Jenin ,university,single,others,Yes,Yes,no,no,no,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,no,no,Yes,no,Yes,Yes,Yes
